City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-54.8,-68.3,35.26,80,0,2.3,AR,1691542849
1,edinburgh of the seven seas,-37.0676,-12.3116,52.84,85,100,25.55,SH,1691542578
2,avarua,-21.2078,-159.775,75.25,64,40,11.5,CK,1691542857
3,rio grande,-32.035,-52.0986,57.31,75,100,13.94,BR,1691542857
4,port-aux-francais,-49.35,70.2167,34.21,75,10,17.49,TF,1691542857
5,carnarvon,-24.8667,113.6333,65.91,75,5,14.65,AU,1691542857
6,nizao,18.25,-70.2,82.47,80,0,10.67,DO,1691542857
7,grytviken,-54.2811,-36.5092,26.91,82,23,9.71,GS,1691542581
8,invercargill,-46.4,168.35,46.02,68,100,8.99,NZ,1691542858
9,aasiaat,68.7098,-52.8699,39.13,75,100,2.84,GL,1691542858
10,susuman,62.7833,148.1667,52.79,46,100,1.63,RU,1691542858
11,puerto ayora,-0.7393,-90.3518,75.54,88,50,5.99,EC,1691542858
12,ikongo,-21.8833,47.4333,63.12,97,100,1.39,MG,1691542858
13,geraldton,-28.7667,114.6,57.61,88,100,12.66,AU,1691542858
14,iqaluit,63.7506,-68.5145,40.73,86,40,8.05,CA,1691542858
15,paoua,7.2427,16.4406,68.59,96,100,3.56,CF,1691542858
16,st. john's,47.5649,-52.7093,55.78,89,100,8.05,CA,1691542586
17,adamstown,-25.066,-130.1015,72.19,86,100,33.87,PN,1691542780
18,veraval,20.9,70.3667,80.49,85,100,17.34,IN,1691542843
19,waurn ponds,-38.2167,144.2833,56.25,49,6,14.23,AU,1691542859
20,sao jose da coroa grande,-8.8978,-35.1478,71.4,91,37,3.53,BR,1691542859
21,holualoa,19.6228,-155.9522,81.5,78,7,5.99,US,1691542859
22,ciudad lazaro cardenas,17.9583,-102.2,85.96,80,14,9.66,MX,1691542595
23,georgiyevka,43.0369,74.7114,69.84,52,40,6.71,KZ,1691542859
24,la foa,-21.7108,165.8276,71.13,43,6,14.61,NC,1691542859
25,jean-rabel,19.8533,-73.1917,84.06,78,21,22.21,HT,1691542859
26,maslyanino,54.3436,84.2111,65.23,58,98,1.7,RU,1691542859
27,linhares,-19.3911,-40.0722,70.74,82,0,7.05,BR,1691542834
28,kodiak,57.79,-152.4072,54.55,93,100,6.64,US,1691542860
29,bahia de caraquez,-0.6,-80.4167,78.98,85,69,8.14,EC,1691542613
30,dunedin,-45.8742,170.5036,41.81,81,100,14.0,NZ,1691542860
31,wailua homesteads,22.0669,-159.378,81.75,72,23,8.99,US,1691542860
32,waitangi,-43.9535,-176.5597,47.82,88,100,4.0,NZ,1691542783
33,tofol,5.3248,163.0078,82.18,83,100,3.44,FM,1691542860
34,bethel,41.3712,-73.414,72.01,75,87,3.0,US,1691542809
35,shenjiamen,29.9576,122.298,82.17,79,0,13.44,CN,1691542861
36,hermanus,-34.4187,19.2345,52.81,86,0,11.41,ZA,1691542861
37,jwaneng,-24.6004,24.7303,50.27,28,40,8.32,BW,1691542861
38,port elizabeth,-33.918,25.5701,57.49,94,40,3.44,ZA,1691542861
39,punta arenas,-53.15,-70.9167,34.25,91,100,8.84,CL,1691542862
40,new norfolk,-42.7826,147.0587,51.93,57,100,4.0,AU,1691542862
41,menongue,-14.6585,17.691,55.85,47,6,2.33,AO,1691542862
42,northam,51.0333,-4.2167,59.61,96,99,8.16,GB,1691542863
43,adrar,20.5022,-10.0711,93.81,19,100,15.84,MR,1691542839
44,kurchatov,51.6601,35.6521,55.81,73,78,3.22,RU,1691542863
45,kenai,60.5544,-151.2583,64.49,79,100,8.05,US,1691542797
46,west island,-12.1568,96.8225,76.98,83,40,12.66,CC,1691542863
47,buncrana,55.1333,-7.45,48.56,89,7,1.48,IE,1691542864
48,pimenta bueno,-11.6725,-61.1936,82.9,37,46,2.48,BR,1691542864
49,ponta delgada,37.7333,-25.6667,74.12,83,40,12.66,PT,1691542817
50,tazovsky,67.4667,78.7,47.91,92,100,15.17,RU,1691542586
51,huambo,-12.7761,15.7392,60.6,41,2,4.61,AO,1691542830
52,lillehammer,61.1146,10.4674,53.89,98,100,3.36,NO,1691542865
53,papatowai,-46.5619,169.4708,41.72,73,100,15.26,NZ,1691542585
54,fort st. john,56.2499,-120.8529,69.69,56,75,12.66,CA,1691542835
55,tiksi,71.6872,128.8694,63.77,46,7,3.53,RU,1691542865
56,ancud,-41.8697,-73.8203,50.14,98,100,12.91,CL,1691542865
57,praia da vitoria,38.7333,-27.0667,77.25,78,40,17.96,PT,1691542865
58,longyearbyen,78.2186,15.6401,46.24,81,0,5.75,SJ,1691542596
59,constantia,44.1833,28.65,57.88,72,0,8.37,RO,1691542866
60,puerto natales,-51.7236,-72.4875,34.77,98,99,3.76,CL,1691542866
61,mogadishu,2.0371,45.3438,75.81,86,77,17.02,SO,1691542866
62,zambezi,-13.5432,23.1047,55.78,48,3,4.43,ZM,1691542866
63,kavieng,-2.5744,150.7967,82.67,77,83,11.86,PG,1691542866
64,jayapura,-2.5333,140.7,87.19,63,12,3.76,ID,1691542866
65,dwarka,22.2394,68.9678,80.85,83,100,19.82,IN,1691542867
66,grootfontein,-19.5667,18.1167,62.17,34,100,2.3,NA,1691542867
67,tibanbang,6.6315,126.1055,83.1,75,100,4.05,PH,1691542867
68,alpena,45.0617,-83.4327,73.65,99,97,1.25,US,1691542867
69,cabo san lucas,22.8909,-109.9124,94.6,71,0,14.43,MX,1691542751
70,jalqani,12.4486,34.2186,70.95,88,100,6.98,SD,1691542868
71,kavaratti,10.5669,72.642,82.31,74,100,17.98,IN,1691542662
72,portland,45.5234,-122.6762,88.65,43,20,10.36,US,1691542775
73,nadym,65.5333,72.5167,51.28,69,100,21.9,RU,1691542868
74,balaipungut,1.05,101.2833,77.79,90,63,3.36,ID,1691542868
75,jamestown,42.097,-79.2353,69.03,77,0,16.11,US,1691542842
76,thompson,55.7435,-97.8558,55.56,88,100,12.66,CA,1691542571
77,dahab,28.501,34.5134,88.32,43,0,11.01,EG,1691542869
78,charters towers,-20.1,146.2667,73.2,34,77,14.2,AU,1691542869
79,albany,42.6001,-73.9662,69.17,82,100,1.99,US,1691542662
80,manacapuru,-3.2997,-60.6206,83.17,54,10,2.68,BR,1691542869
81,port mathurin,-19.6833,63.4167,72.5,57,84,16.37,MU,1691542869
82,khandyga,62.6667,135.6,69.57,43,38,1.97,RU,1691542869
83,arenapolis,-14.4503,-56.8461,84.63,35,80,2.19,BR,1691542870
84,sao felix do xingu,-6.6447,-51.995,80.78,40,34,2.93,BR,1691542843
85,codrington,-38.2667,141.9667,56.14,65,0,19.66,AU,1691542637
86,remire-montjoly,4.9167,-52.2667,80.64,83,0,1.14,GF,1691542870
87,afaahiti,-17.75,-149.2833,76.87,84,100,18.32,PF,1691542774
88,camana,-16.6228,-72.7111,64.04,81,25,7.31,PE,1691542870
89,margaret river,-33.95,115.0667,56.03,57,18,4.09,AU,1691542870
90,alaghsas,17.0187,8.0168,84.38,56,75,5.23,NE,1691542870
91,okhotsk,59.3833,143.3,63.75,47,0,1.81,RU,1691542870
92,georgetown,5.4112,100.3354,82.94,88,20,3.44,MY,1691542815
93,udachny,66.4167,112.4,68.45,52,6,13.82,RU,1691542871
94,qaqortoq,60.7167,-46.0333,40.55,90,28,3.02,GL,1691542776
95,dhidhdhoo,6.8833,73.1,82.22,78,100,14.9,MV,1691542871
96,rongelap,11.1635,166.8941,83.19,77,100,12.44,MH,1691542598
97,east london,-33.0153,27.9116,62.67,81,100,7.02,ZA,1691542663
98,dikhil,11.5,42.1667,83.28,49,43,6.26,DJ,1691542871
99,kingscliff,-28.2667,153.5667,69.94,59,75,10.36,AU,1691542871
100,olonkinbyen,70.9221,-8.7187,40.32,93,100,21.43,SJ,1691542871
101,port lincoln,-34.7333,135.8667,61.65,46,0,24.02,AU,1691542872
102,kapsabet,0.2039,35.105,55.06,94,76,2.53,KE,1691542872
103,luderitz,-26.6481,15.1594,61.16,61,0,14.47,NA,1691542582
104,nebbi,2.4783,31.0889,64.26,82,37,4.27,UG,1691542872
105,bredasdorp,-34.5322,20.0403,48.31,90,0,5.32,ZA,1691542578
106,talnakh,69.4865,88.3972,65.21,56,100,1.41,RU,1691542872
107,san pedro del parana,-26.8333,-56.2,65.35,98,100,1.77,PY,1691542872
108,blackmans bay,-43.0167,147.3167,50.74,66,100,7.99,AU,1691542872
109,port alfred,-33.5906,26.891,58.17,97,100,10.29,ZA,1691542872
110,port saint john's,-31.6229,29.5448,64.04,69,100,3.78,ZA,1691542849
111,caleta de carquin,-11.0925,-77.6267,66.65,81,36,11.21,PE,1691542873
112,atafu village,-8.5421,-172.5159,83.21,74,97,13.27,TK,1691542626
113,tondano,1.3038,124.9112,80.69,72,100,6.82,ID,1691542873
114,whitehorse,60.7161,-135.0538,61.57,72,75,4.61,CA,1691542870
115,mili,6.0815,171.735,82.69,79,96,14.56,MH,1691542873
116,uturoa,-16.7333,-151.4333,77.83,82,100,12.62,PF,1691542874
117,hithadhoo,-0.6,73.0833,81.18,76,57,6.08,MV,1691542874
118,chinchilla,-26.75,150.6333,67.26,37,0,10.33,AU,1691542874
119,igarka,67.4667,86.5833,63.28,63,48,6.15,RU,1691542874
120,enewetak,11.3474,162.3373,83.62,77,70,15.05,MH,1691542874
121,carira,-10.3608,-37.7011,67.3,95,51,7.11,BR,1691542874
122,kokpekty,48.75,82.4,65.32,83,100,3.27,KZ,1691542875
123,nuku'alofa,-21.1333,-175.2,75.54,94,75,3.44,TO,1691542875
124,kone,-21.0595,164.8658,73.42,43,14,11.07,NC,1691542601
125,hadibu,12.65,54.0333,78.04,80,100,23.71,YE,1691542875
126,isafjordur,66.0755,-23.124,50.05,62,13,3.74,IS,1691542875
127,jonquiere,48.4165,-71.2488,58.39,97,100,5.75,CA,1691542875
128,nemuro,43.3236,145.575,66.04,100,100,14.61,JP,1691542714
129,lompoc,34.6391,-120.4579,72.79,80,100,7.0,US,1691542876
130,pisco,-13.7,-76.2167,68.05,77,0,13.8,PE,1691542629
